model	objective	reaction	status	value
iAB_AMO1410_SARS-CoV-2	obj	R_DM_13-cis-oretn(n)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_13-cis-retn(n)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_Asn-X-Ser/Thr(ly)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_Ser-Gly/Ala-X-Gly(ly)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_Ser/Thr(ly)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_atp(c)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_avite1(c)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_avite2(c)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_bvite(c)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_datp(m)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_datp(n)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_dctp(m)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_dctp(n)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_dgtp(m)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_dgtp(n)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_dsT_antigen(g)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_dttp(m)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_dttp(n)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_ethamp(r)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_gpi_sig(er)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_kdn(c)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_m(em)3gacpail_prot_hs(r)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_mem2emgacpail_prot_hs(r)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_n5m2masn(g)	optimal	0.014424
iAB_AMO1410_SARS-CoV-2	obj	R_DM_oretn(n)	optimal	0.014424
